Rank,Movie,"Release Date",Distributor,Genre,2019 Gross,Tickets Sold
94,The Sun is Also a Star,"May 17, 2019",Warner Bros.,Drama,"$4,950,029","543,362"
95,Tolkien,"May 10, 2019",Fox Searchlight,Drama,"$4,535,154","497,821"
96,Amazing Grace,"Apr 5, 2019",Neon,Documentary,"$4,450,454","488,524"
97,Pavarotti,"Jun 7, 2019",CBS Films,Documentary,"$4,339,378","476,331"
98,Cold War,"Dec 21, 2018",Amazon Studios,Drama,"$4,307,930","472,879"
99,Gully Boy,"Feb 14, 2019",Viva Entertainment,Adventure,"$4,216,437","462,836"
100,The Last Black Man in San F…,"Jun 7, 2019",A24,Drama,"$4,187,238","459,630"
101,Uri: The Surgical Strike,"Jan 11, 2019",PackYourBag Films,Action,"$4,185,663","459,458"
102,The Biggest Little Farm,"May 10, 2019",Neon,Documentary,"$4,176,387","458,439"
103,Replicas,"Jan 11, 2019",Entertainment Stu…,Thriller/Suspense,"$4,046,429","444,174"
104,2019 Oscar Shorts,"Feb 8, 2019",ShortsHD,Multiple Genres,"$3,531,093","387,606"
105,The Beach Bum,"Mar 29, 2019",Neon,Comedy,"$3,502,600","384,478"
106,Creed II,"Nov 21, 2018",MGM,Drama,"$3,267,369","358,657"
107,Mary Queen of Scots,"Dec 7, 2018",Focus Features,Drama,"$3,043,614","334,095"
108,Echo in the Canyon,"May 24, 2019",Greenwich,Documentary,"$2,981,811","327,311"
109,Fantastic Beasts: The Crime…,"Nov 16, 2018",Warner Bros.,Adventure,"$2,774,042","304,505"
110,Kalank,"Apr 17, 2019",FIP,Drama,"$2,729,336","299,597"
111,Bharat,"Jun 5, 2019",Viva Entertainment,Action,"$2,684,911","294,721"
112,Everybody Knows,"Feb 8, 2019",Focus Features,Drama,"$2,660,165","292,004"
113,Instant Family,"Nov 16, 2018",Paramount Pictures,Comedy,"$2,518,231","276,424"
114,Arctic,"Feb 1, 2019",Bleecker Street,Drama,"$2,409,826","264,525"
115,The Art of Self-Defense,"Jul 12, 2019",Bleecker Street,Comedy,"$2,312,195","253,808"
116,Holmes & Watson,"Dec 25, 2018",Sony Pictures,Comedy,"$2,254,994","247,529"
117,The Fall of the American Em…,"May 31, 2019",Entertainment One,Comedy,"$2,167,779","237,955"
118,Total Dhamaal,"Feb 22, 2019",FIP,Comedy,"$2,167,632","237,939"
119,Super 30,"Jul 12, 2019",Reliance Entertai…,Drama,"$2,111,832","231,814"
120,Badla,"Mar 8, 2019",Zee Studios,Thriller/Suspense,"$1,861,000","204,281"
121,The White Crow,"Apr 26, 2019",Sony Pictures Cla…,Drama,"$1,818,771","199,645"
122,Shoplifters,"Nov 23, 2018",Magnolia Pictures,Drama,"$1,666,708","182,953"
123,The Aftermath,"Mar 15, 2019",Fox Searchlight,Drama,"$1,618,497","177,661"
124,Red Joan,"Apr 12, 2019",IFC Films,Drama,"$1,580,223","173,460"
125,Extreme Job,"Jan 25, 2019",CJ Entertainment,Action,"$1,565,885","171,886"
126,The Other Side of Heaven 2:…,"Jun 28, 2019",ArtAffects,Drama,"$1,520,940","166,952"
127,The Kid,"Mar 8, 2019",Lionsgate,Western,"$1,508,593","165,597"
128,Capernaum,"Dec 14, 2018",Sony Pictures Cla…,Drama,"$1,488,318","163,371"
129,Wild Rose,"Jun 21, 2019",Neon,Drama,"$1,456,865","159,919"
130,The Wife,"Aug 17, 2018",Sony Pictures Cla…,Drama,"$1,393,052","152,914"
131,Never Look Away,"Jan 25, 2019",Sony Pictures Cla…,Thriller/Suspense,"$1,303,747","143,111"
132,Destroyer,"Dec 25, 2018",Annapurna Pictures,Thriller/Suspense,"$1,285,243","141,080"
133,Can You Ever Forgive Me?,"Oct 19, 2018",Fox Searchlight,Drama,"$1,259,896","138,298"
134,High Life,"Apr 5, 2019",A24,Adventure,"$1,225,852","134,561"
135,All is True,"Dec 21, 2018",Sony Pictures Cla…,Drama,"$1,191,725","130,815"
136,Ben is Back,"Dec 7, 2018",Roadside Attractions,Drama,"$1,191,342","130,772"
137,Ek Ladki Ko Dekah Toh Aisa …,"Feb 1, 2019",FIP,Romantic Comedy,"$1,182,636","129,817"
138,Maiden,"Jun 28, 2019",Sony Pictures Cla…,Documentary,"$1,158,834","127,204"
139,The Souvenir,"May 17, 2019",A24,Drama,"$1,030,502","113,117"
140,Perfectos desconocidos,"Jan 11, 2019",Lionsgate,Comedy,"$1,014,507","111,361"
141,Dr. Seuss’ The Grinch,"Nov 9, 2018",Universal,Adventure,"$998,820","109,639"
142,Simmba,"Dec 28, 2018",Reliance Entertai…,Action,"$986,339","108,269"
143,Woman at War,"Mar 1, 2019",Magnolia Pictures,Action,"$847,495","93,029"
144,Climax,"Mar 1, 2019",A24,Drama,"$817,339","89,718"
145,Transit,"Mar 1, 2019",Music Box Films,Drama,"$815,290","89,493"
146,Between Me and My Mind,"Jul 17, 2019",Trafalgar Releasing,Documentary,"$813,669","89,316"
147,Student of the Year 2,"May 10, 2019",FIP,Romantic Comedy,"$778,566","85,462"
148,The Church,"May 24, 2019",Indican Pictures,Horror,"$771,645","84,703"
149,JONI 75: A Birthday Celebra…,"Feb 7, 2019",Trafalgar Releasing,Concert/Performance,"$752,205","82,569"
150,BlacKkKlansman,"Aug 10, 2018",Focus Features,Thriller/Suspense,"$747,775","82,082"
151,More Than Blue,"Mar 15, 2019",China Lion Film D…,Drama,"$722,669","79,327"
152,Non-Fiction,"May 3, 2019",IFC Films,Comedy,"$704,919","77,378"
153,El Chicano,"May 3, 2019",Briarcliffe Enter…,Drama,"$700,261","76,867"
154,The Grizzlies,"Apr 19, 2019",Mongrel Media,Drama,"$643,226","70,606"
155,Marianne & Leonard: Words o…,"Jul 5, 2019",Roadside Attractions,Documentary,"$619,681","68,022"
156,The Chaperone,"Mar 29, 2019",PBS Distribution,Drama,"$600,654","65,933"
157,Furie,"Mar 1, 2019",Well Go USA,Action,"$594,788","65,289"
158,The Public,"Apr 5, 2019",Universal,Drama,"$573,503","62,953"
159,Bethany Hamilton: Unstoppable,"Jul 12, 2019",Entertainment Stu…,Documentary,"$565,283","62,050"
160,Toni Morrison: The Pieces I Am,"Jun 21, 2019",Magnolia Pictures,Documentary,"$547,316","60,078"
161,Wild Nights With Emily,"Apr 12, 2019",Greenwich,Comedy,"$519,487","57,023"
162,Shadow,"May 3, 2019",Well Go USA,Action,"$516,778","56,726"
163,Birds of Passage,"Feb 13, 2019",The Orchard,Drama,"$507,259","55,681"
164,Widows,"Nov 16, 2018",20th Century Fox,Thriller/Suspense,"$498,459","54,715"
165,Long Day’s Journey Into Nig…,"Apr 12, 2019",Kino Lorber,Drama,"$478,544","52,529"
166,Cruel Intentions,"Mar 5, 1999",Sony Pictures,Drama,"$463,365","50,863"
167,The Spy Behind Home Plate,"May 24, 2019",The Ciesla Founda…,Documentary,"$462,381","50,755"
168,CatVideoFest,"Feb 15, 2019",Oscilloscope Pict…,Documentary,"$459,291","50,416"
169,Dear Comrade,"Jul 26, 2019",,Action,"$457,000","50,164"
170,Teen Spirit,"Apr 12, 2019",Bleecker Street,Musical,"$441,366","48,448"
171,De De Pyaar De,"May 17, 2019",Yash Raj Films,Romantic Comedy,"$425,934","46,754"
172,Hail Satan?,"Apr 17, 2019",Magnolia Pictures,Documentary,"$424,284","46,573"
173,Ash is Purest White,"Mar 15, 2019",Cohen Media Group,Drama,"$414,578","45,508"
174,The Invisibles,"Jan 25, 2019",Greenwich,Documentary,"$408,397","44,829"
175,Mia and the White Lion,"Apr 12, 2019",Ledafilms,Drama,"$400,498","43,962"
176,The Man Who Killed Don Quixote,"Apr 10, 2019",Fathom Events,Drama,"$391,963","43,025"
177,The Wedding Guest,"Mar 1, 2019",IFC Films,Thriller/Suspense,"$386,166","42,389"
178,The Cure: Anniversary 1978-…,"Jul 11, 2019",Trafalgar Releasing,Concert/Performance,"$373,427","40,990"
179,The Hummingbird Project,"Mar 15, 2019",The Orchard,Drama,"$371,784","40,810"
180,Welcome to Marwen,"Dec 21, 2018",Universal,Drama,"$356,895","39,176"
181,The Tomorrow Man,"May 22, 2019",Bleecker Street,Drama,"$354,103","38,869"
182,Photograph,"May 17, 2019",Amazon Studios,Drama,"$344,534","37,819"
183,Diane,"Mar 29, 2019",IFC Films,Drama,"$339,838","37,303"
184,At Eternity’s Gate,"Nov 16, 2018",CBS Films,Drama,"$317,975","34,903"
185,Josh Groban Bridges from Ma…,"Feb 12, 2019",Trafalgar Releasing,Concert/Performance,"$315,173","34,596"
186,Ask Dr. Ruth,"May 3, 2019",Magnolia Pictures,Documentary,"$297,195","32,622"
187,Khalid: Free Spirit,"Mar 29, 2019",Trafalgar Releasing,Documentary,"$284,229","31,199"
188,Smallfoot,"Sep 28, 2018",Warner Bros.,Adventure,"$263,482","28,922"
189,Her Smell,"Apr 12, 2019",Gunpowder & Sky,Drama,"$255,599","28,056"
190,I Got The Hook-Up 2,"Jul 12, 2019",RLJ Entertainment,Comedy,"$252,293","27,694"
191,Lords of Chaos,"Feb 8, 2019",Gunpowder & Sky,Thriller/Suspense,"$252,245","27,688"
192,Canal Street,"Jan 18, 2019",Smith Global Media,Drama,"$251,917","27,652"
193,Meeting Gorbachev,"May 3, 2019",1091 Media,Documentary,"$249,407","27,377"
194,311: Enlarged to Show Detail 3,"Mar 11, 2019",Trafalgar Releasing,Concert/Performance,"$238,791","26,211"
195,American Woman,"Jun 14, 2019",Roadside Attractions,Drama,"$236,637","25,975"
196,The Fighting Preacher,"Jul 24, 2019",Purdie Distribution,Drama,"$235,251","25,823"
197,A Tuba to Cuba,"Feb 15, 2019",Blue Fox Entertai…,Documentary,"$229,381","25,179"
198,"The Gangster, The Cop, The …","Jun 7, 2019",Well Go USA,Action,"$214,062","23,497"
199,"Faith, Hope & Love","Mar 15, 2019",ArtAffects,Romantic Comedy,"$209,990","23,050"
200,Master Z: Ip Man Legacy,"Apr 12, 2019",Well Go USA,Action,"$209,454","22,991"
201,The Iron Orchard,"Feb 22, 2019",Santa Rita Film Co,Drama,"$204,881","22,489"
202,Chasing the Dragon 2: Wild …,"Jun 7, 2019",Well Go USA,Action,"$196,634","21,584"
203,Hesburgh,"Apr 26, 2019",O’Malley Creadon …,Documentary,"$196,556","21,575"
204,Family,"Apr 19, 2019",Film Arcade,Drama,"$196,322","21,550"
205,To Dust,"Feb 8, 2019",Good Deed Enterta…,Drama,"$184,495","20,251"
206,Mortal Engines,"Dec 14, 2018",Universal,Action,"$183,315","20,122"
207,Robin Hood,"Nov 21, 2018",Lionsgate,Action,"$179,615","19,716"
208,Modest Heroes,"Jan 10, 2019",GKIDS,Adventure,"$178,027","19,541"
209,India’s Most Wanted,"May 24, 2019",FIP,Thriller/Suspense,"$176,858","19,413"
210,Sword of Trust,"Jul 12, 2019",IFC Films,Drama,"$165,178","18,131"
211,Sunset,"Mar 22, 2019",Sony Pictures Cla…,Drama,"$164,717","18,080"
212,Money,"Mar 21, 2019",CJ Entertainment,Drama,"$155,732","17,094"
213,The Possession of Hannah Grace,"Nov 30, 2018",Sony Pictures,Horror,"$153,478","16,847"
214,Peterloo,"Apr 5, 2019",Amazon Studios,Drama,"$151,971","16,681"
215,The River and the Wall,"May 3, 2019",Gravitas Ventures,Documentary,"$150,816","16,554"
216,Little Woods,"Apr 19, 2019",Neon,Western,"$150,010","16,466"
217,Trial by Fire,"May 17, 2019",Roadside Attractions,Drama,"$148,504","16,301"
218,Dogman,"Apr 12, 2019",Magnolia Pictures,Thriller/Suspense,"$148,225","16,270"
219,"Iyengar: The Man, Yoga, The…","Apr 12, 2019",Kino Lorber,Documentary,"$147,632","16,205"
220,Halston,"May 24, 2019",1091 Media,Documentary,"$146,512","16,082"
221,Framing John DeLorean,"Jun 7, 2019",Sundance Selects,Documentary,"$145,626","15,985"
222,The Life of Brian,"Aug 17, 1979",Warner Bros.,Comedy,"$138,071","15,155"
223,Who Will Write Our History,"Jan 18, 2019",Abramorama Films,Documentary,"$138,039","15,152"
224,Rafiki,"Apr 19, 2019",Film Movement,Drama,"$137,968","15,144"
225,The Last Resort,"Dec 21, 2018",Kino Lorber,Documentary,"$137,857","15,132"
226,Okko’s Inn,"Apr 22, 2019",GKIDS,Adventure,"$134,787","14,795"
227,Palau the Movie,"Apr 4, 2019",Trafalgar Releasing,Drama,"$134,696","14,785"
228,Peppa Celebrates Chinese Ne…,"Feb 6, 2019",STX Entertainment,Adventure,"$131,225","14,404"
229,Hampstead,"Jun 14, 2019",IFC Films,Drama,"$130,623","14,338"
230,War and Peace,"Apr 28, 1968",Continental Distr…,Drama,"$126,832","13,922"
231,The World Before Your Feet,"Nov 21, 2018",Greenwich,Documentary,"$125,857","13,815"
232,Mary Magdalene,"Apr 12, 2019",IFC Films,Drama,"$124,958","13,716"
233,"Ruben Brandt, Collector","Feb 15, 2019",Sony Pictures Cla…,Drama,"$117,963","12,948"
234,Police Story/Police Story 2…,"Feb 1, 2019",Janus Films,Action,"$113,224","12,428"
235,Paris is Burning,"Mar 13, 1991",Academy Entertain…,Documentary,"$112,898","12,392"
236,Babylon (1980),"Mar 8, 2019",Self Distributed,Drama,"$108,191","11,876"
237,The Brink,"Mar 29, 2019",Magnolia Pictures,Documentary,"$106,059","11,642"
238,Miss & Mrs. Cops,"May 10, 2019",CJ Entertainment,Comedy,"$103,935","11,408"
239,Burning,"Oct 26, 2018",Well Go USA,Thriller/Suspense,"$101,279","11,117"
240,The Reports on Sarah and Sa…,"Jun 12, 2019",Dada Films,Drama,"$99,958","10,972"
241,Walking on Water,"May 17, 2019",Kino Lorber,Documentary,"$97,086","10,657"
242,Free Trip to Egypt,"Jun 12, 2019",Fathom Events,Documentary,"$94,674","10,392"
243,The Image Book,"Jan 25, 2019",Kino Lorber,Drama,"$93,950","10,312"
244,Always Miss You,"May 3, 2019",China Lion Film D…,Drama,"$91,884","10,086"
245,Mirai no Mirai,"Nov 29, 2018",GKIDS,Adventure,"$90,193","9,900"
246,The Lumber Baron,"May 24, 2019",Indican Pictures,Drama,"$87,881","9,646"
247,Sonchiriya,"Mar 1, 2019",PackYourBag Films,Action,"$86,765","9,524"
248,Ramen Shop,"Mar 22, 2019",Strand,Drama,"$86,060","9,446"
249,David Crosby: Remember My Name,"Jul 19, 2019",Sony Pictures Cla…,Documentary,"$85,825","9,420"
250,Woodstock: Three Days That …,"May 24, 2019",Self Distributed,Documentary,"$84,440","9,268"
251,That Pärt Feeling—The Unive…,"May 24, 2019",Film Movement,Documentary,"$83,570","9,173"
252,Papi Chulo,"Jun 7, 2019",Blue Fox Entertai…,Comedy,"$83,540","9,170"
253,Be Natural: The Untold Stor…,"Apr 19, 2019",Zeitgeist,Documentary,"$83,172","9,129"
254,Venom,"Oct 5, 2018",Sony Pictures,Action,"$82,267","9,030"
255,The Third Wife,"May 15, 2019",Film Movement,Drama,"$81,044","8,896"
256,The Other Story,"Jun 28, 2019",Strand,Drama,"$79,671","8,745"
257,Mayday Life,"May 31, 2019",China Lion Film D…,Concert/Performance,"$78,966","8,668"
258,Deadpool 2,"May 18, 2018",20th Century Fox,Action,"$78,961","8,667"
259,The Old Man and the Gun,"Sep 28, 2018",Fox Searchlight,Comedy,"$78,577","8,625"
260,The Heiresses,"Jan 16, 2019",Distrib Films,Drama,"$78,473","8,613"
261,Fast Color,"Apr 19, 2019",Lionsgate,Thriller/Suspense,"$76,916","8,443"
262,Triple Threat,"Mar 19, 2019",Well Go USA,Thriller/Suspense,"$76,289","8,374"
263,Savage,"May 3, 2019",Well Go USA,Thriller/Suspense,"$74,491","8,176"
264,The Nutcracker and the Four…,"Nov 2, 2018",Walt Disney,Adventure,"$73,093","8,023"
265,"Hale County This Morning, T…","Sep 14, 2018",Cinema Guild,Documentary,"$71,967","7,899"
266,Storm Boy,"Apr 5, 2019",Good Deed Enterta…,Adventure,"$71,760","7,877"
267,3 Faces,"Mar 8, 2019",Kino Lorber,Drama,"$71,613","7,860"
268,Cliffs of Freedom,"Mar 1, 2019",Round Hill Media,Drama,"$71,609","7,860"
269,Styx,"Feb 27, 2019",Film Movement,Drama,"$70,794","7,771"
270,Being Frank,"Jun 14, 2019",Film Arcade,Comedy,"$67,343","7,392"
271,Christ Stopped at Eboli,"Mar 23, 1980",Franklin Media,Drama,"$66,671","7,318"
272,Diamantino,"May 24, 2019",Kino Lorber,,"$66,527","7,302"
273,Working Woman,"Mar 27, 2019",Zeitgeist,Drama,"$64,764","7,109"
274,The Chambermaid,"Jun 26, 2019",Kino Lorber,Drama,"$64,365","7,065"
275,Rojo,"Jul 12, 2019",Distrib Films,Drama,"$61,791","6,782"
276,Wild,"Apr 10, 2019",Strand,Drama,"$60,568","6,648"
277,Loopers: The Caddie’s Long …,"Jun 7, 2019",Gravitas Ventures,Documentary,"$58,085","6,375"
278,Last Year at Marienbad,"Jan 18, 2008",Rialto Pictures,Drama,"$55,218","6,061"
279,Charlie Says,"May 10, 2019",IFC Films,Drama,"$51,044","5,603"
280,Mojin: The Worm Valley,"Jan 4, 2019",Well Go USA,Action,"$50,933","5,590"
281,The Hate U Give,"Oct 19, 2018",20th Century Fox,Drama,"$50,839","5,580"
282,Ophelia,"Jun 28, 2019",IFC Films,Drama,"$50,722","5,567"
283,Clinton Road,"Jun 14, 2019",Nocturnal Features,Horror,"$50,400","5,532"
284,The Bounty Killer,"Jan 25, 2019",Indican Pictures,Western,"$48,815","5,358"
285,Under The Silver Lake,"Apr 19, 2019",A24,Thriller/Suspense,"$46,083","5,058"
286,High on the Hog,"Apr 19, 2019",Indican Pictures,Action,"$45,599","5,005"
287,The Proposal,"May 24, 2019",Oscilloscope Pict…,Documentary,"$45,149","4,955"
288,What is Democracy,"Jan 16, 2019",Zeitgeist,Documentary,"$44,502","4,884"
289,Becoming Astrid,"Nov 23, 2018",Music Box Films,Drama,"$44,399","4,873"
290,Carmine Street Guitars,"Apr 24, 2019",Abramorama Films,Documentary,"$44,253","4,857"
291,Honeyland,"Jul 26, 2019",Neon,Documentary,"$44,156","4,846"
292,Aniara,"May 17, 2019",Magnolia Pictures,Drama,"$40,124","4,404"
293,Saint Judy,"Mar 1, 2019",Blue Fox Entertai…,Drama,"$39,275","4,311"
294,Shed of the Dead,"May 17, 2019",Indican Pictures,Comedy,"$38,699","4,247"
295,Wildlife,"Oct 19, 2018",IFC Films,Drama,"$38,112","4,183"
296,A Faithful Man,"Jul 19, 2019",Kino Lorber,Romantic Comedy,"$37,413","4,106"
297,The Quiet One,"Jun 21, 2019",IFC Films,Documentary,"$37,012","4,062"
298,Zilla and Zoe,"May 17, 2019",Indican Pictures,Comedy,"$36,485","4,004"
299,The Sower,"Mar 1, 2019",Film Movement,Drama,"$36,233","3,977"
300,Yardie,"Mar 15, 2019",Rialto Pictures,Drama,"$35,632","3,911"
301,Maria by Callas,"Nov 2, 2018",Sony Pictures Cla…,Documentary,"$34,017","3,734"
302,The Wild Pear Tree,"Jan 30, 2019",Cinema Guild,Drama,"$33,326","3,658"
303,Killer Unicorn,"Jun 11, 2019",Indican Pictures,Horror,"$32,901","3,611"
304,An Acceptable Loss,"Jan 18, 2019",IFC Films,Thriller/Suspense,"$32,452","3,562"
305,Knife + Heart,"Mar 15, 2019",Altered Innocence,Thriller/Suspense,"$31,969","3,509"
306,Sorry Angel,"Feb 15, 2019",Strand,Drama,"$30,584","3,357"
307,Horn From the Heart: The Pa…,"Oct 17, 2018",Abramorama Films,Documentary,"$30,179","3,312"
308,Pasolini,"May 10, 2019",Kino Lorber,Drama,"$30,104","3,304"
309,The Queen,"Jun 27, 2019",Kino Lorber,Documentary,"$29,685","3,258"
310,Anthropocene: The Human Epoch,"Sep 28, 2018",Mongrel Media,Documentary,"$28,724","3,153"
311,The Wind,"Apr 5, 2019",IFC Midnight,Horror,"$28,611","3,140"
312,Hotel by the River,"Feb 15, 2019",Cinema Guild,Drama,"$27,832","3,055"
313,Mike Wallace is Here,"Jul 26, 2019",Magnolia Pictures,Documentary,"$27,785","3,049"
314,"Leaving Home, Coming Home: …","May 29, 2019",Greenwich,Documentary,"$26,910","2,953"
315,Wrestle,"Feb 22, 2019",Oscilloscope Pict…,Documentary,"$26,597","2,919"
316,Donnybrook,"Feb 15, 2019",IFC Films,Drama,"$26,284","2,885"
317,Swing Kids,"Dec 21, 2018",Well Go USA,Drama,"$26,244","2,880"
318,Return of the Hero,"Aug 31, 2018",Distrib Films,Drama,"$25,004","2,744"
319,The Nun (1966) (Re-Release),"Jan 4, 2019",Rialto Pictures,Drama,"$23,972","2,631"
